Rule - Relation = comp:obl, Head-POS = VERB, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-0.html: 0 
Rule - Relation = conj, Head-POS = VERB, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-1.html: 0 
Rule - Relation = comp:obj, Head-POS = VERB, Child-POS = AUX : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-2.html: 0 
Rule - Relation = mod, Head-POS = VERB, Child-POS = AUX : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-3.html: 0 
Rule - Relation = comp:aux@pass, Head-POS = AUX, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-4.html: 0 
Rule - Relation = comp:obj, Head-POS = VERB, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-5.html: 0 
Rule - Relation = parataxis, Head-POS = AUX, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-6.html: 0 
Rule - Relation = conj, Head-POS = AUX, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-7.html: 0 
Rule - Relation = parataxis, Head-POS = AUX, Child-POS = AUX : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-8.html: 0 
Rule - Relation = unk@expl, Head-POS = VERB, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-9.html: 0 
Rule - Relation = subj@pass, Head-POS = AUX, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-10.html: 0 
Rule - Relation = mod, Head-POS = VERB, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-11.html: 0 
Rule - Relation = unk@expl, Head-POS = AUX, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-12.html: 0 
Rule - Relation = subj, Head-POS = VERB, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-13.html: 0 
Rule - Relation = subj, Head-POS = AUX, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-14.html: 0 
Rule - Relation = conj, Head-POS = VERB, Child-POS = AUX : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-15.html: 0 
Rule - Relation = comp:obj, Head-POS = VERB, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-16.html: 0 
Rule - Relation = parataxis, Head-POS = VERB, Child-POS = AUX : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-17.html: 0 
Rule - Relation = parataxis, Head-POS = VERB, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-18.html: 0 
Rule - Relation = conj, Head-POS = AUX, Child-POS = AUX : http://antonisa.github.io/grammar/agreement/annotation/de/Person/Person-19.html: 0 
