Rule - Relation = comp:obl, Head-POS = ADJ, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-0.html: 0 
Rule - Relation = det@poss, Head-POS = NOUN, Child-POS = DET : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-1.html: 1 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-2.html: 0 
Rule - Relation = appos, Head-POS = PROPN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-3.html: 0 
Rule - Relation = det@poss, Head-POS = NOUN, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-4.html: 1 
Rule - Relation = unk, Head-POS = PROPN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-5.html: 0 
Rule - Relation = mod, Head-POS = PROPN, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-6.html: 1 
Rule - Relation = appos, Head-POS = PROPN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-7.html: 1 
Rule - Relation = comp:obj, Head-POS = NOUN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-8.html: 0 
Rule - Relation = conj, Head-POS = ADJ, Child-POS = ADJ : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-9.html: 1 
Rule - Relation = mod, Head-POS = PROPN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-10.html: 1 
Rule - Relation = subj, Head-POS = NOUN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-11.html: 0 
Rule - Relation = conj, Head-POS = NOUN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-12.html: 1 
Rule - Relation = det, Head-POS = PROPN, Child-POS = DET : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-13.html: 1 
Rule - Relation = flat, Head-POS = PROPN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-14.html: 1 
Rule - Relation = mod, Head-POS = PROPN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-15.html: 0 
Rule - Relation = comp:obj, Head-POS = PROPN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-16.html: 0 
Rule - Relation = conj, Head-POS = PROPN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-17.html: 0 
Rule - Relation = mod, Head-POS = PROPN, Child-POS = ADJ : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-18.html: 1 
Rule - Relation = mod, Head-POS = ADJ, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-19.html: 0 
Rule - Relation = unk, Head-POS = NOUN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-20.html: 0 
Rule - Relation = compound, Head-POS = PROPN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-21.html: 1 
Rule - Relation = mod, Head-POS = ADP, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-22.html: 0 
Rule - Relation = subj, Head-POS = VERB, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-23.html: 0 
Rule - Relation = flat, Head-POS = PROPN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-24.html: 1 
Rule - Relation = comp:obj, Head-POS = ADJ, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-25.html: 0 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = DET : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-26.html: 1 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = ADJ : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-27.html: 1 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-28.html: 1 
Rule - Relation = appos, Head-POS = NOUN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-29.html: 1 
Rule - Relation = det, Head-POS = NOUN, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-30.html: 1 
Rule - Relation = conj, Head-POS = NOUN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/de/Gender/Gender-31.html: 0 
