Rule - Relation = vocative, Head-POS = VERB, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-0.html: 0 
Rule - Relation = comp:pred, Head-POS = AUX, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-1.html: 0 
Rule - Relation = det, Head-POS = PRON, Child-POS = DET : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-2.html: 1 
Rule - Relation = subj@pass, Head-POS = AUX, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-3.html: 0 
Rule - Relation = conj, Head-POS = PROPN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-4.html: 1 
Rule - Relation = comp:obl, Head-POS = VERB, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-5.html: 0 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = NUM : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-6.html: 1 
Rule - Relation = mod@relcl, Head-POS = NOUN, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-7.html: 0 
Rule - Relation = udep, Head-POS = VERB, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-8.html: 0 
Rule - Relation = det, Head-POS = PROPN, Child-POS = DET : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-9.html: 1 
Rule - Relation = subj, Head-POS = VERB, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-10.html: 1 
Rule - Relation = subj@pass, Head-POS = VERB, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-11.html: 0 
Rule - Relation = subj, Head-POS = VERB, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-12.html: 1 
Rule - Relation = subj, Head-POS = AUX, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-13.html: 1 
Rule - Relation = mod@relcl, Head-POS = NOUN, Child-POS = AUX : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-14.html: 0 
Rule - Relation = det, Head-POS = NOUN, Child-POS = DET : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-15.html: 1 
Rule - Relation = mod@relcl, Head-POS = PRON, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-16.html: 0 
Rule - Relation = det, Head-POS = NOUN, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-17.html: 1 
Rule - Relation = comp:obj, Head-POS = VERB, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-18.html: 0 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-19.html: 1 
Rule - Relation = det, Head-POS = ADJ, Child-POS = DET : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-20.html: 1 
Rule - Relation = flat, Head-POS = PROPN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-21.html: 1 
Rule - Relation = mod, Head-POS = PROPN, Child-POS = ADJ : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-22.html: 1 
Rule - Relation = comp:obj, Head-POS = VERB, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-23.html: 0 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = PRON : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-24.html: 0 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-25.html: 0 
Rule - Relation = subj, Head-POS = VERB, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-26.html: 1 
Rule - Relation = comp:pred, Head-POS = AUX, Child-POS = ADJ : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-27.html: 1 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = ADJ : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-28.html: 1 
Rule - Relation = comp:pred, Head-POS = VERB, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-29.html: 0 
Rule - Relation = mod, Head-POS = NOUN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-30.html: 0 
Rule - Relation = flat, Head-POS = NOUN, Child-POS = PROPN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-31.html: 1 
Rule - Relation = conj, Head-POS = NOUN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-32.html: 0 
Rule - Relation = conj, Head-POS = VERB, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-33.html: 0 
Rule - Relation = mod, Head-POS = VERB, Child-POS = VERB : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-34.html: 0 
Rule - Relation = subj, Head-POS = AUX, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-35.html: 1 
Rule - Relation = subj@pass, Head-POS = VERB, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-36.html: 0 
Rule - Relation = conj, Head-POS = ADJ, Child-POS = ADJ : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-37.html: 1 
Rule - Relation = comp:pred, Head-POS = VERB, Child-POS = ADJ : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-38.html: 1 
Rule - Relation = appos, Head-POS = NOUN, Child-POS = NOUN : http://antonisa.github.io/grammar/agreement/annotation/el/Number/Number-39.html: 0 
